hash://sha256/8433086243ce205758fb778702bdbcc07e326879f006d61b11dbd7b1b78a3e36	32fc967f-6454-4ca8-e053-0100007f109b	Magnolia_tripetala_|_(L.)_L._|_Valid_	treehole containing / in treehole of
hash://sha256/ad3ec5e20674de621f85bfbb0a93e65b303faec9532b1fe1af1b57b115027ccb	32fc968a-c705-4cb1-e053-0100007f700c	Canarium_ovatum_|_Engl._|_Valid_	under bark by / under bark of
hash://sha256/9ea55e544c700c32814a0fbe96fc2fb21becbc06bac2d59287b6a5e2e2f2a388	32fc9694-c18c-4cb7-e053-0100007fc852	Canarium_ovatum_|_Engl._|_Valid_	under bark by / under bark of
hash://sha256/77ead374bdf9371302c550d9433c2b95c80e2b613ef5dd96c5432915d04918a2	32fc969e-ec0d-4cbb-e053-0100007f1dd7	Canarium_ovatum_|_Engl._|_Valid_	under bark by / under bark of
hash://sha256/c70ce78964e3049fc9d2d906f184d8afc70afd5a74c820e2d85f6dc2f86aebef	32fc96a9-26d9-4cbe-e053-0100007f1563	Canarium_ovatum_|_Engl._|_Valid_	under bark by / under bark of
hash://sha256/38dffaa2cdb5051c1ea028ad8f2507ece72b34ae3194139c7f2542b24dbf1485	32fc96b3-673a-4cca-e053-0100007f2af8	Canarium_ovatum_|_Engl._|_Valid_	under bark by / under bark of
hash://sha256/28a97ef5a3abd57882d99c58b07bd54d4f0e184358750f4dac8fb27ca65005bc	32fc96bd-c2a0-4ccd-e053-0100007f4f90	Canarium_ovatum_|_Engl._|_Valid_	under bark by / under bark of
hash://sha256/69f655a6c4df5be835f201fba17653276e9c239af5539256ad9da6a2c35bef9a	32fc96c8-029c-4cd0-e053-0100007f4dcd	Canarium_ovatum_|_Engl._|_Valid_	under bark by / under bark of
hash://sha256/d27685210641edf934933de1e84c60906c53fdbeee5c49c587afa19f31225556	32fc96d1-d139-4cdc-e053-0100007f319f	Canarium_ovatum_|_Engl._|_Valid_	under bark by / under bark of
hash://sha256/d4111817429601e94bf4f38cb9e15711b4069ffef4d5d7e048318f0f1b814ade	32fc96d8-13b7-4cdf-e053-0100007f72f5	Magnolia_tripetala_|_(L.)_L._|_Valid_	treehole containing / in treehole of
hash://sha256/6359bf0d44e5f720d46074facb56348f86539e2f42b1a1cbc334f5297b239161	32fc97da-c89b-4d43-e053-0100007fa128	Magnolia_tripetala_|_(L.)_L._|_Valid_	treehole containing / in treehole of
hash://sha256/3f91673aec93f5ac37e2b2bb295512424a06020fd406307f48266957ee276fd8	32fc98a9-fcd6-4d85-e053-0100007f1e0d	Magnolia_tripetala_|_(L.)_L._|_Valid_	treehole containing / in treehole of
hash://sha256/4dd06139ab11ab311f4f8018ba601187942fae4d7045d465daecefafa44c010c	32fc997d-5255-4dde-e053-0100007f1684	Magnolia_tripetala_|_(L.)_L._|_Valid_	treehole containing / in treehole of
hash://sha256/c23e74e57553962358edf19921cb9e6003acbc49061658144d85440f16e08062	32fc99f3-59cf-4e08-e053-0100007f2fce	Magnolia_tripetala_|_(L.)_L._|_Valid_	treehole containing / in treehole of
hash://sha256/8e19bf625c84e577edd0318a263cb0be3c222c4da8ff24d263ce8af69d7704cf	32fc99f8-a862-4e0b-e053-0100007f5151	Passalidae_|_Valid_	lived on by / living on
