provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
abdomen containing / on abdomen of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
alate host of / phoretic on alate,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
bulb containing / on bulb of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
bulb in soil with / in soil with bulb of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
cadaver containing / on cadaver of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
clump containing / in clump of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
culture containing / in culture of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
decayed bark containing / in decaying bark of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
decayed containing / in decaying,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
"decayed fruit, nut, seed containing / in decaying fruit, nut, seed of",,interacts with,http://purl.obolibrary.org/obo/RO_0002437
decayed log containing / in decaying log of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
decayed mulch containing / in decaying mulch of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
decayed root containing / in decaying root of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
decayed tree stump containing / in decaying tree stump of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
dump containing / in dump of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
eggs with / with eggs of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
fed on flower by / feeding on flower of,,eats,http://purl.obolibrary.org/obo/RO_0002470
"fed on fruit, nut, seed by / feeding on fruit, nut, seed of",,eats,http://purl.obolibrary.org/obo/RO_0002470
fed on gall by / feeding on gall of,,eats,http://purl.obolibrary.org/obo/RO_0002470
fed upon bark by / feeding on bark of,,eats,http://purl.obolibrary.org/obo/RO_0002470
"fed upon bud, shoot by / feeding on bud, shoot of",,eats,http://purl.obolibrary.org/obo/RO_0002470
fed upon bulb by / feeding on bulb of,,eats,http://purl.obolibrary.org/obo/RO_0002470
fed upon by / feeding on,,eats,http://purl.obolibrary.org/obo/RO_0002470
fed upon leaf by / feeding on leaf of,,eats,http://purl.obolibrary.org/obo/RO_0002470
fed upon leaf gall by / feeding on leaf gall of,,eats,http://purl.obolibrary.org/obo/RO_0002470
fed upon root by / feeding on root of,,eats,http://purl.obolibrary.org/obo/RO_0002470
fed upon shoot by / feeding on shoot of,,eats,http://purl.obolibrary.org/obo/RO_0002470
fed upon stem by / feeding on stem of,,eats,http://purl.obolibrary.org/obo/RO_0002470
fed upon tree trunk by / feeding on tree trunk of,,eats,http://purl.obolibrary.org/obo/RO_0002470
"fed upon twig, branch by / feeding on twig, branch of",,eats,http://purl.obolibrary.org/obo/RO_0002470
flower containing / on flower of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
galleries containing / in galleries of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
guano contaning / on guano of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
habitat for / inhabits,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
host abdomen of / parasitic on abdomen of,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
host abdomen of / phoretic on abdomen of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
host antenna of / phoretic on antenna of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
host body of / parasitic on body of,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
host body of / phoretic on body of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
host branchial chamber of / parasitic on branchial chamber of,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
host cloaca of / parasitic on cloaca of,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
host coxa of / parasitic on coxa of,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
host coxa of / phoretic on coxa of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
host ear of / parasitic in ear of,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
host ear of / parasitic on ear of,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
host egg of / parasitic on egg of,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
host eye of / parasitic on eye of,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
host eye of / phoretic on eye of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
host genitalia of / parasitic on genitalia of,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
